id_cita;cita_es;cita_la;cita_original;autor_es;referencia;autor_la;bio_es;bio_la;codigo;idioma_es;idioma_la;nacion_es;nacion_la;epoca_es;epoca_la;imagen;imagen_atr
14;Ser o no ser, esa es la cuestión;Esse aut non esse, haec est quaestio;To be, or not to be, that is the question;Shakespeare;Hamlet, Actus III, Scaena I (c. 1600);Gulielmus Shakespeare;Dramaturgo y poeta inglés, autor de Hamlet.;"Dramaturgus et poeta Anglicus, auctor ""Hamlet"".";en;Inglés;Lingua Anglica;Reino Unido;Regnum Unitum;Edad Moderna;Nova Aetas;https://i.ibb.co/MDGnQ1yJ/shakespeare.png;0
15;No es lo mismo fracasar que estrellarse;Non idem est cadere ac collidi;No es lo mismo fracasar que estrellarse;Refrán Español;;Sententia Hispanica;Refranes populares de la tradición oral hispana que expresan de forma breve y ingeniosa enseñanzas prácticas sobre la vida cotidiana.;Collectio sententiarum Hispanicarum.;es;Español;Lingua Hispanica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/Y4f7TZWm/espa-a.png;0
16;"Los años que una mujer borra en silencio no son devorados por el tiempo; se posan, suavemente, en los rasgos de sus amigas más íntimas";Anni quos femina silentio delet non a tempore devorantur, sed in vultibus amicorum quiescunt;女人悄然抹去的岁月，并未真被时光吞没 而是悄悄落在了她闺中好友的眉眼之间;Proverbio Chino;;Proverbium Sinense;Conjunto de proverbios tradicionales de la cultura china que transmiten sabiduría popular, valores morales y enseñanzas prácticas transmitidas oralmente durante siglos.;Collectio sententiarum Sinensium, magnopere in cultura tradita.;zh;Chino;Lingua Sinica;China;Sinae;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/qLfpZm6h/china.png;0
17;La suerte está echada;Alea iacta est;Alea iacta est;Gayo Julio César;Suetonius, De vita Caesarum, Divus Iulius 32;Gaius Iulius Caesar;Político, militar y escritor romano. Protagonizó el final de la República Romana y el ascenso del Imperio. Conquistó la Galia, cruzó el Rubicón en 49 a. C. iniciando la guerra civil, y ejerció el poder como dictador vitalicio. Fue asesinado el 15 de marzo de 44 a. C. durante los Idus de marzo.;Politicus, miles et scriptor Romanus. Finitum Rei Publicae et ascensus Imperii. Galliam vicit, Rubiconem transiit anno 49 a.C., bellum civile incepit, dictator perpetuus factus. Interfectus est die 15 Martii 44 a.C.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/7dbHBQ9X/juliocesar.png;0
18;Nada surge de la nada;Ex nihilo nihil fit;οὐδὲν ἐκ τοῦ μὴ ὄντος γίγνεται;Parménides;Simplicius, In Aristotelis Physica (fr. DK 28 B8);Parmenides;Filósofo presocrático griego, fundador de la escuela eleática. Defendió la idea de la permanencia del ser y que nada surge de la nada.;Philosophus Praesocraticus Graecus, schola Eleatica conditor. Ideam constantiae entis defendit, nihil ex nihilo oriri.;la;Latín;Lingua Latina;Grecia;Graecia;Edad Antigua;Antiquitas;https://i.ibb.co/8DHGWSZc/parmenides.png;0
19;"Todos los hombres son sabios; unos antes, los otros después";Omnes homines sapientes sunt, alii citius, alii postea;人皆有智慧 只是早晚而已;Proverbio Chino;;Proverbium Sinense;Conjunto de proverbios tradicionales de la cultura china que transmiten sabiduría popular, valores morales y enseñanzas prácticas transmitidas oralmente durante siglos.;Collectio sententiarum Sinensium, magnopere in cultura tradita.;zh;Chino;Lingua Sinica;China;Sinae;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/qLfpZm6h/china.png;0
20;"El que sabe de ello no se compara con el que lo ama; el que lo ama no se compara con el que se deleita en ello";"Qui scit non aequatur ei qui amat; qui amat non aequatur ei qui delectatur";知之者不如好之者；好之者不如乐之者;Confucio;Analecta Confucii, Liber VI, Caput XX;Confucius;Filósofo y maestro chino, fundador del confucianismo. Sus enseñanzas influyeron profundamente en la cultura, ética y política de China.;Philosophus et magister Sinensis, confucianismi conditor. Doctrinae eius in culturam, ethicam et politicam Sinensem profunde influentes.;zh;Chino;Lingua Sinica;China;Sinae;Edad Antigua;Antiquitas;https://i.ibb.co/tjXTLg8/confucio.png;0
21;"Aprender sin reflexionar es inútil; reflexionar sin aprender es peligroso";"Discere sine cogitatione inutile est; cogitare sine doctrina periculosum est";学而不思则罔，思而不学则殆;Confucio;Analecta Confucii, Liber II, Caput XV;Confucius;Filósofo y maestro chino, fundador del confucianismo. Sus enseñanzas influyeron profundamente en la cultura, ética y política de China.;Philosophus et magister Sinensis, confucianismi conditor. Doctrinae eius in culturam, ethicam et politicam Sinensem profunde influentes.;zh;Chino;Lingua Sinica;China;Sinae;Edad Antigua;Antiquitas;https://i.ibb.co/tjXTLg8/confucio.png;0
22;No hagas a otros lo que no deseas para ti mismo;Quod tibi non vis, alteri ne feceris;己所不欲，勿施于人;Confucio;Analecta Confucii, Liber XII, Caput II;Confucius;Filósofo y maestro chino, fundador del confucianismo. Sus enseñanzas influyeron profundamente en la cultura, ética y política de China.;Philosophus et magister Sinensis, confucianismi conditor. Doctrinae eius in culturam, ethicam et politicam Sinensem profunde influentes.;zh;Chino;Lingua Sinica;China;Sinae;Edad Antigua;Antiquitas;https://i.ibb.co/tjXTLg8/confucio.png;0
23;La vida sin letras es muerte;Vita sine litteris mors est;Vita sine litteris mors est;Séneca;Epistulae Morales ad Lucilium, Epistula 82, 3;Lucius Annaeus Seneca;Filósofo, escritor y político romano, representante del estoicismo. Autor de numerosas cartas y tratados morales.;Philosophus, scriptor et politicus Romanus, stoicismus repraesentans. Multas epistulas et tractatus morales scripsit.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/35c3QS9J/seneca.png;0
24;No hay un camino fácil de la tierra a las estrellas;Non est ad astra mollis e terris via;Non est ad astra mollis e terris via;Séneca;Hercules Furens, v. 437;Lucius Annaeus Seneca;Filósofo, escritor y político romano, representante del estoicismo. Autor de numerosas cartas y tratados morales.;Philosophus, scriptor et politicus Romanus, stoicismus repraesentans. Multas epistulas et tractatus morales scripsit.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/35c3QS9J/seneca.png;0
25;Mientras estemos entre los hombres, cultivemos la humanidad;Dum inter homines sumus, colamus humanitatem;Dum inter homines sumus, humanitatem colamus;Séneca;Epistulae Morales ad Lucilium, Epistula 95, 52;Lucius Annaeus Seneca;Filósofo, escritor y político romano, representante del estoicismo. Autor de numerosas cartas y tratados morales.;Philosophus, scriptor et politicus Romanus, stoicismus repraesentans. Multas epistulas et tractatus morales scripsit.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/35c3QS9J/seneca.png;0
26;Cada uno es artífice de su propia fortuna;Quisque est faber fortunae suae;Faber est suae quisque fortunae;Séneca;Epistulae Morales ad Lucilium, Epistula 98, 2;Lucius Annaeus Seneca;Filósofo, escritor y político romano, representante del estoicismo. Autor de numerosas cartas y tratados morales.;Philosophus, scriptor et politicus Romanus, stoicismus repraesentans. Multas epistulas et tractatus morales scripsit.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/35c3QS9J/seneca.png;0
27;Sin ira ni parcialidad;Sine ira et studio;Sine ira et studio;Tácito;Annales, I, 1;Publius Cornelius Tacitus;Gayo o Publio Cornelio Tácito fue un político, orador e historiador romano considerado uno de los más grandes escritores de la historiografía romana. Nació alrededor del año 56 d.C., probablemente en la Galia Narbonense o el norte de Italia, y murió hacia el 120 d.C. Desarrolló una brillante carrera política llegando a ser cónsul en el 97 d.C. y procónsul de Asia entre 112-113 d.C. Sus obras más importantes son los Anales, que narran la historia del Imperio Romano desde la muerte de Augusto hasta Nerón (14-68 d.C.), y las Historias, que abarcan desde el año 69 al 96 d.C. También escribió Germania, una obra etnográfica sobre las tribus germánicas.;Gaius vel Publius Cornelius Tacitus fuit politicus, orator et historicus Romanus consideratus unus ex maximis scriptoribus historiographiae Romanae. Natus est circiter annum LVI p.C., probabiliter in Gallia Narbonensi vel Italia septentrionali, et mortuus est circiter annum CXX p.C. Cursum honorum fulgentem perfecit ut consul anno XCVII p.C. et proconsul Asiae inter annos CXII-CXIII p.C. Opera eius praecipua sunt Annales, qui narrant historiam Imperii Romani a morte Augusti usque ad Neronem (XIV-LXVIII p.C.), et Historiae, quae annos LXIX ad XCVI p.C. comprehendunt. Etiam scripsit Germaniam, opus ethnographicum de tribubus Germanicis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/x8MJCvrr/tacito.png;0
28;El conocimiento es poder;Scientia potentia est;Knowledge is power;Francis Bacon;Meditationes Sacrae, De Haeresibus (1597);Franciscus Bacon;"Filósofo y estadista inglés, autor de ""El conocimiento es poder"".";"Philosophus et civis Anglicus, auctor ""Scientia potentia est"".";en;Inglés;Lingua Anglica;Reino Unido;Regnum Unitum;Edad Moderna;Nova Aetas;https://i.ibb.co/xtWthbfv/bacon.png;0
29;Aquel que pregunta es un tonto por cinco minutos, pero el que no pregunta permanece tonto por siempre;"Qui rogat stultus est ad horam; qui non rogat stultus manet in aeternum";不耻下问;Proverbio Chino;;Proverbium Sinense;Conjunto de proverbios tradicionales de la cultura china que transmiten sabiduría popular, valores morales y enseñanzas prácticas transmitidas oralmente durante siglos.;Collectio sententiarum Sinensium, magnopere in cultura tradita.;zh;Chino;Lingua Sinica;China;Sinae;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/qLfpZm6h/china.png;0
30;Un viaje de mil millas comienza con un solo paso;Iter mille milium uno passu incipit;千里之行，始于足下。;Proverbio Chino;;Proverbium Sinense;Conjunto de proverbios tradicionales de la cultura china que transmiten sabiduría popular, valores morales y enseñanzas prácticas transmitidas oralmente durante siglos.;Collectio sententiarum Sinensium, magnopere in cultura tradita.;zh;Chino;Lingua Sinica;China;Sinae;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/qLfpZm6h/china.png;0
31;Dar un pez a alguien no es tan bueno como enseñarle a pescar;Potius est docere piscari quam piscem dare;授人以鱼不如授人以渔。;Proverbio Chino;;Proverbium Sinense;Conjunto de proverbios tradicionales de la cultura china que transmiten sabiduría popular, valores morales y enseñanzas prácticas transmitidas oralmente durante siglos.;Collectio sententiarum Sinensium, magnopere in cultura tradita.;zh;Chino;Lingua Sinica;China;Sinae;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/qLfpZm6h/china.png;0
32;Quien se conforma, siempre es feliz;Qui contentus est, semper beatus est;知足常乐。;Proverbio Chino;;Proverbium Sinense;Conjunto de proverbios tradicionales de la cultura china que transmiten sabiduría popular, valores morales y enseñanzas prácticas transmitidas oralmente durante siglos.;Collectio sententiarum Sinensium, magnopere in cultura tradita.;zh;Chino;Lingua Sinica;China;Sinae;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/qLfpZm6h/china.png;0
33;"El mar acepta todos los ríos; así se hace grande";Mare omnes fluvios recipit et ideo magnum est;海纳百川，有容乃大。;Proverbio Chino;;Proverbium Sinense;Conjunto de proverbios tradicionales de la cultura china que transmiten sabiduría popular, valores morales y enseñanzas prácticas transmitidas oralmente durante siglos.;Collectio sententiarum Sinensium, magnopere in cultura tradita.;zh;Chino;Lingua Sinica;China;Sinae;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/qLfpZm6h/china.png;0
34;"Aprender sin reflexionar es inútil; reflexionar sin aprender es peligroso";"Discere sine cogitatione inutile est; cogitare sine doctrina periculosum est";学而不思则罔，思而不学则殆。;Proverbio Chino;;Proverbium Sinense;Conjunto de proverbios tradicionales de la cultura china que transmiten sabiduría popular, valores morales y enseñanzas prácticas transmitidas oralmente durante siglos.;Collectio sententiarum Sinensium, magnopere in cultura tradita.;zh;Chino;Lingua Sinica;China;Sinae;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/qLfpZm6h/china.png;0
35;Si tres caminan juntos, siempre hay algo que puedo aprender de ellos;Inter tres ambulantes, semper magister est;三人行，必有我师焉。;Proverbio Chino;;Proverbium Sinense;Conjunto de proverbios tradicionales de la cultura china que transmiten sabiduría popular, valores morales y enseñanzas prácticas transmitidas oralmente durante siglos.;Collectio sententiarum Sinensium, magnopere in cultura tradita.;zh;Chino;Lingua Sinica;China;Sinae;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/qLfpZm6h/china.png;0
36;Cae siete veces, levántate ocho;Septies cade, octies surge;七転び八起き;Proverbio Japonés;;Proverbium Iaponicum;Expresiones tradicionales de la cultura japonesa que resumen enseñanzas morales, filosóficas y prácticas derivadas del budismo, el sintoísmo y la experiencia popular.;Collectio sententiarum Iaponicarum.;ja;Japonés;Lingua Iaponica;Japón;Iaponia;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/svZg6Fc2/japon.png;0
37;Hasta los monos se caen de los árboles;Etiam simiae ex arboribus cadunt;猿も木から落ちる;Proverbio Japonés;;Proverbium Iaponicum;Expresiones tradicionales de la cultura japonesa que resumen enseñanzas morales, filosóficas y prácticas derivadas del budismo, el sintoísmo y la experiencia popular.;Collectio sententiarum Iaponicarum.;ja;Japonés;Lingua Iaponica;Japón;Iaponia;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/svZg6Fc2/japon.png;0
38;Más vale dar un rodeo que precipitarse;Qui festinat circuit;急がば回れ;Proverbio Japonés;;Proverbium Iaponicum;Expresiones tradicionales de la cultura japonesa que resumen enseñanzas morales, filosóficas y prácticas derivadas del budismo, el sintoísmo y la experiencia popular.;Collectio sententiarum Iaponicarum.;ja;Japonés;Lingua Iaponica;Japón;Iaponia;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/svZg6Fc2/japon.png;0
39;Incluso sobre una piedra, tres años;Etiam super lapidem, triennium;石の上にも三年;Proverbio Japonés;;Proverbium Iaponicum;Expresiones tradicionales de la cultura japonesa que resumen enseñanzas morales, filosóficas y prácticas derivadas del budismo, el sintoísmo y la experiencia popular.;Collectio sententiarum Iaponicarum.;ja;Japonés;Lingua Iaponica;Japón;Iaponia;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/svZg6Fc2/japon.png;0
40;Después de la lluvia, la tierra se endurece;Post pluviam terra confirmatur;雨降って地固まる;Proverbio Japonés;;Proverbium Iaponicum;Expresiones tradicionales de la cultura japonesa que resumen enseñanzas morales, filosóficas y prácticas derivadas del budismo, el sintoísmo y la experiencia popular.;Collectio sententiarum Iaponicarum.;ja;Japonés;Lingua Iaponica;Japón;Iaponia;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/svZg6Fc2/japon.png;0
41;Incluso rozarse las mangas es el resultado de muchas vidas de destino;Etiam leviter contingere manicas est fatum multarum vitarum;袖振り合うも多生の縁;Proverbio Japonés;;Proverbium Iaponicum;Expresiones tradicionales de la cultura japonesa que resumen enseñanzas morales, filosóficas y prácticas derivadas del budismo, el sintoísmo y la experiencia popular.;Collectio sententiarum Iaponicarum.;ja;Japonés;Lingua Iaponica;Japón;Iaponia;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/svZg6Fc2/japon.png;0
42;La boca es la fuente del desastre;Os est fons calamitatis;口は災いの元;Proverbio Japonés;;Proverbium Iaponicum;Expresiones tradicionales de la cultura japonesa que resumen enseñanzas morales, filosóficas y prácticas derivadas del budismo, el sintoísmo y la experiencia popular.;Collectio sententiarum Iaponicarum.;ja;Japonés;Lingua Iaponica;Japón;Iaponia;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/svZg6Fc2/japon.png;0
43;La vida sin estudio es una muerte;Vita sine litteris mors est;Vita sine litteris mors est;Séneca;Epistulae Morales ad Lucilium, Epistula 82, 3;Lucius Annaeus Seneca;Filósofo, escritor y político romano, representante del estoicismo. Autor de numerosas cartas y tratados morales.;Philosophus, scriptor et politicus Romanus, stoicismus repraesentans. Multas epistulas et tractatus morales scripsit.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/35c3QS9J/seneca.png;0
44;No hay camino fácil de la tierra a las estrellas;Non est ad astra mollis e terris via;Non est ad astra mollis e terris via;Séneca;Hercules Furens, v. 437;Lucius Annaeus Seneca;Filósofo, escritor y político romano, representante del estoicismo. Autor de numerosas cartas y tratados morales.;Philosophus, scriptor et politicus Romanus, stoicismus repraesentans. Multas epistulas et tractatus morales scripsit.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/35c3QS9J/seneca.png;0
45;Mientras estemos entre hombres, cultivemos la humanidad;Dum inter homines sumus, colamus humanitatem;Dum inter homines sumus, colamus humanitatem;Séneca;Epistulae Morales ad Lucilium, Epistula 95, 52;Lucius Annaeus Seneca;Filósofo, escritor y político romano, representante del estoicismo. Autor de numerosas cartas y tratados morales.;Philosophus, scriptor et politicus Romanus, stoicismus repraesentans. Multas epistulas et tractatus morales scripsit.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/35c3QS9J/seneca.png;0
46;Cada uno es artífice de su propia fortuna;Faber est suae quisque fortunae;Faber est suae quisque fortunae;Séneca;Epistulae Morales ad Lucilium, Epistula 98, 2;Lucius Annaeus Seneca;Filósofo, escritor y político romano, representante del estoicismo. Autor de numerosas cartas y tratados morales.;Philosophus, scriptor et politicus Romanus, stoicismus repraesentans. Multas epistulas et tractatus morales scripsit.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/35c3QS9J/seneca.png;0
47;La verdad es la adecuación del intelecto con la realidad;Veritas est adaequatio rei et intellectus;Veritas est adaequatio rei et intellectus;Santo Tomás de Aquino;Summa Theologiae, I, q.16, art.1;Thomas Aquinas;"Filósofo y teólogo italiano, representante de la Escolástica. Autor de la ""Summa Theologica"".";"Philosophus et theologus Italicus, Scholasticae repraesentans. Auctor ""Summa Theologica"".";la;Latín;Lingua Latina;Italia;Italia;Edad Media;Medium Aevum;https://i.ibb.co/wG8jHsv/tomasaquino.png;0
48;Amor a Dios y al prójimo;Amor Dei et proximi;Amor Dei et proximi;Santo Tomás de Aquino;Summa Theologiae, II-II, q.25, art.1;Thomas Aquinas;"Filósofo y teólogo italiano, representante de la Escolástica. Autor de la ""Summa Theologica"".";"Philosophus et theologus Italicus, Scholasticae repraesentans. Auctor ""Summa Theologica"".";la;Latín;Lingua Latina;Italia;Italia;Edad Media;Medium Aevum;https://i.ibb.co/wG8jHsv/tomasaquino.png;0
49;La fe y la razón están en armonía;Fides et ratio concordant;Fides et ratio concordant;Santo Tomás de Aquino;Summa Theologiae (principio general);Thomas Aquinas;"Filósofo y teólogo italiano, representante de la Escolástica. Autor de la ""Summa Theologica"".";"Philosophus et theologus Italicus, Scholasticae repraesentans. Auctor ""Summa Theologica"".";la;Latín;Lingua Latina;Italia;Italia;Edad Media;Medium Aevum;https://i.ibb.co/wG8jHsv/tomasaquino.png;0
50;El bien común debe prevalecer sobre el bien individual;Bonum commune praeferendum est bono singulari;Bonum commune praeferendum est bono singulari;Santo Tomás de Aquino;Summa Theologiae, II-II, q.57, art.1;Thomas Aquinas;"Filósofo y teólogo italiano, representante de la Escolástica. Autor de la ""Summa Theologica"".";"Philosophus et theologus Italicus, Scholasticae repraesentans. Auctor ""Summa Theologica"".";la;Latín;Lingua Latina;Italia;Italia;Edad Media;Medium Aevum;https://i.ibb.co/wG8jHsv/tomasaquino.png;0
51;El hombre busca el bien supremo;Homo summum bonum quaerit;Homo summum bonum quaerit;Santo Tomás de Aquino;Summa Theologiae, I-II, q.1, art.5;Thomas Aquinas;"Filósofo y teólogo italiano, representante de la Escolástica. Autor de la ""Summa Theologica"".";"Philosophus et theologus Italicus, Scholasticae repraesentans. Auctor ""Summa Theologica"".";la;Latín;Lingua Latina;Italia;Italia;Edad Media;Medium Aevum;https://i.ibb.co/wG8jHsv/tomasaquino.png;0
52;Dios ha muerto;Deus mortuus est;Gott ist tot;Friedrich Nietzsche;Die fröhliche Wissenschaft (1882), Liber III, aphorismus 125;Friedrich Nietzsche;"Filósofo, poeta y filólogo alemán. Autor de obras como ""Así habló Zaratustra"" y ""Más allá del bien y del mal"".";"Philosophus, poeta et philologus Germanicus, auctor operum ut ""Ita loquutus est Zarathustra"" et ""Ultra bonum et malum"".";de;Alemán;Lingua Germanica;Alemania;Germania;Edad Contemporánea;Aetas Contemporanea;https://i.ibb.co/N6jnVDp7/nietzsche.png;0
53;Lo que no me mata, me hace más fuerte;Quod me non necat, fortiorem me facit;Was mich nicht umbringt, macht mich stärker;Friedrich Nietzsche;Ecce Homo (1888), Praefatio, §1;Friedrich Nietzsche;"Filósofo, poeta y filólogo alemán. Autor de obras como ""Así habló Zaratustra"" y ""Más allá del bien y del mal"".";"Philosophus, poeta et philologus Germanicus, auctor operum ut ""Ita loquutus est Zarathustra"" et ""Ultra bonum et malum"".";de;Alemán;Lingua Germanica;Alemania;Germania;Edad Contemporánea;Aetas Contemporanea;https://i.ibb.co/N6jnVDp7/nietzsche.png;0
